Time (s),Roll (deg.),Pitch (deg.),Yaw (deg.),Altitude (m),Pressure (Pa),Temeprature (C)
1697045172.5325942,359.8125,0.5,113.75,27.278840270608544,1009.965813390773,36.77999958535656
1697045172.63026,359.8125,0.5,113.75,27.532672696497887,1009.9152188836174,36.788831090088934
1697045172.7299438,89.9375,-0.0625,4.875,28.124506785791493,1009.965813390773,36.788831090088934
1697045172.8052967,359.8125,0.5,353.75,27.026437444824968,1009.8745356437912,36.784415340051055
1697045172.8937142,359.8125,0.5,113.75,28.04037451055377,1010.0264940349509,36.788831090088934
1697045172.9909492,359.8125,0.5,113.75,27.19470514091027,1009.9353882096865,36.788831090088934
1697045173.0882576,359.8125,0.5,113.75,27.364405764139025,1009.9859834217148,36.788831090088934
1697045173.1853487,359.8125,0.5,113.75,27.448538803103194,1009.8239412980358,36.79766257619485
1697045173.2825868,359.8125,0.5,113.75,28.462506832598162,1009.9353882096865,36.788831090088934
1697045173.380349,359.8125,0.5,113.75,26.51880213359619,1009.9859834217148,36.788831090088934
1697045173.477731,359.8125,0.5,113.75,28.37837493922858,1009.8543678944708,36.788831090088934
1697045173.5752728,359.8125,0.5,105.75,27.196142249477656,1009.9656420422103,36.79766257619485
1697045173.6706023,359.8125,0.5,113.75,27.28027357959554,1009.9656420422103,36.79766257619485
1697045173.7343583,359.8125,0.5,113.75,28.379868570567634,1009.8947033096016,36.80649404367432
1697045173.7935512,359.8125,0.5,113.75,28.041855909789827,1010.0261491434197,36.810909770429134
1697045173.8528643,359.8125,0.5,113.75,27.957728288425276,1009.8338462286821,36.80649404367432
1697045173.9112089,359.8125,0.5,113.75,28.379868570567634,1010.0059801932293,36.819741209968925
1697045173.9703622,359.8125,0.5,113.75,26.859625473144074,1010.0059801932293,36.819741209968925
1697045174.0291364,359.8125,0.5,113.75,28.211614945911872,1010.0059801932293,36.819741209968925
1697045174.088371,359.8125,0.5,113.75,27.873601521451896,1009.8844419303408,36.819741209968925
1697045174.1470826,359.8125,0.5,113.75,28.211614945911872,1010.0059801932293,36.815325492527336
1697045174.2058473,359.8125,0.5,113.75,28.549639075853285,1010.0463180100476,36.8241569227539
1697045174.2644308,359.8125,0.5,113.75,29.055926009354618,1009.904608640721,36.8241569227539
1697045174.3229074,359.8125,0.5,113.75,27.1976067858526,1009.8540122342278,36.815325492527336
1697045174.3821173,359.8125,0.5,113.75,28.043364738781428,1009.904608640721,36.8241569227539
1697045174.440747,359.8125,0.5,113.75,28.127489415153526,1009.8945252959737,36.8241569227539
1697045174.499124,359.8125,0.5,113.75,28.127489415153526,1009.864095205675,36.82857263088226
1697045174.5582578,359.8125,0.5,113.75,26.691372211412837,1009.8842610859102,36.819741209968925
1697045174.6204536,359.8125,0.5,113.75,27.36734706725545,1009.9451221086928,36.8241569227539
1697045174.6793354,359.8125,0.5,113.75,28.043364738781428,1009.8540122342278,36.83298833435401
1697045174.7381685,359.8125,0.5,113.75,28.465513926928647,1009.9146919645817,36.8241569227539
1697045174.796673,359.8125,0.5,113.75,27.36734706725545,1009.8842610859102,36.8241569227539
1697045174.8550112,359.8125,0.5,113.75,28.465513926928647,1009.9451221086928,36.83740403316915
1697045174.9135618,359.8125,0.5,113.75,28.127489415153526,1009.8538294726822,36.83298833435401
1697045174.9726517,359.8125,0.5,113.75,27.36734706725545,1009.8842610859102,36.83298833435401
1697045175.0314848,359.8125,0.5,113.75,27.873601521451896,1009.9451221086928,36.83298833435401
1697045175.090134,359.8125,0.5,113.75,28.88922704047955,1009.904608640721,36.83298833435401
1697045175.148451,359.8125,0.5,113.75,27.9592409167759,1010.1374318182711,36.8241569227539
1697045175.2069788,359.8125,0.5,113.75,28.043364738781428,1009.9957196800518,36.82857263088226
1697045175.2653837,359.8125,0.5,113.75,28.043364738781428,1009.8741781562368,36.83298833435401
1697045175.3242443,359.8125,0.5,113.75,28.297266192198766,1009.9652894821223,36.83740403316915
1697045175.3830369,359.8125,0.5,113.75,28.381389632380422,1010.127346669699,36.83298833435401
1697045175.4418905,359.8125,0.5,113.75,27.9592409167759,1009.8842610859102,36.841819727327675
1697045175.5004025,359.8125,0.5,113.75,28.381389632380422,1009.8842610859102,36.83740403316915
1697045175.5594988,359.8125,0.5,113.75,27.875117949146787,1009.8842610859102,36.83298833435401
1697045175.621456,359.8125,0.5,113.75,27.9592409167759,1009.904608640721,36.83298833435401
1697045175.6805277,359.8125,0.5,113.75,27.283222481612025,1009.985456771987,36.850651101674885
1697045175.7399554,359.8125,0.5,113.75,27.706874576983356,1009.934858549635,36.841819727327675
1697045175.7988265,359.8125,0.5,113.75,27.9592409167759,1009.8943439946958,36.83298833435401
1697045175.8571134,359.8125,0.5,113.75,28.551179969903835,1009.8741781562368,36.83740403316915
1697045175.9157577,359.8125,0.5,113.75,27.706874576983356,1009.9044268825903,36.83740403316915
1697045175.9747672,359.8125,0.5,113.75,28.213143606388602,1009.8842610859102,36.83740403316915
1697045176.0344388,359.8125,0.5,113.75,27.875117949146787,1009.8437469371925,36.83298833435401
1697045176.0931716,359.8125,0.5,113.75,28.12902187493517,1009.9044268825903,36.841819727327675
1697045176.1515837,359.8125,0.5,113.75,27.621226346839396,1009.9449418108248,36.846235416829586
1697045176.2100933,359.8125,0.5,113.75,27.790995835884246,1009.8437469371925,36.83740403316915
1697045176.2684946,359.8125,0.5,113.75,27.790995835884246,1009.9044268825903,36.841819727327675
1697045176.3271317,359.8125,0.5,113.75,27.114975873479,1009.8538294726822,36.841819727327675
1697045176.3858862,359.8125,0.5,113.75,27.030853850969724,1009.9044268825903,36.846235416829586
1697045176.4447653,359.8125,0.5,113.75,27.706874576983356,1009.9651082705237,36.846235416829586
1697045176.5030897,359.8125,0.5,113.75,26.35487594066897,1009.985456771987,36.850651101674885
1697045176.5619478,359.8125,0.5,113.75,26.43899872677679,1010.0564024120222,36.841819727327675
1697045176.6239293,359.8125,0.5,113.75,28.04490099783847,1009.9044268825903,36.846235416829586
1697045176.682708,359.8125,0.5,113.75,27.790995835884246,1009.8437469371925,36.841819727327675
1697045176.7419825,359.8125,0.5,113.75,27.284738075281002,1009.8943439946958,36.846235416829586
1697045176.8007963,359.8125,0.5,113.75,27.706874576983356,1009.8233971248975,36.841819727327675
1697045176.8591483,359.8125,0.5,113.75,27.706874576983356,1009.9245925957023,36.850651101674885
1697045176.9176505,359.8125,0.5,113.75,28.467058620264435,1010.1068241084326,36.841819727327675
1697045176.9763978,359.8125,0.5,113.75,27.706874576983356,1009.9550250511217,36.841819727327675
1697045177.035125,359.8125,0.5,113.75,28.04490099783847,1009.9044268825903,36.850651101674885
1697045177.0938914,359.8125,0.5,113.75,27.960780975098512,1009.9044268825903,36.846235416829586
1697045177.1524842,359.8125,0.5,113.75,28.29881848404108,1009.8233971248975,36.850651101674885
1697045177.2110498,359.8125,0.5,113.75,27.538634622256694,1009.9245925957023,36.841819727327675
1697045177.269273,359.8125,0.5,113.75,27.876661806710363,1009.9245925957023,36.850651101674885
1697045177.3279867,359.8125,0.5,113.75,27.960780975098512,1009.8334792453137,36.850651101674885
1697045177.3865511,359.8125,0.5,113.75,27.284738075281002,1009.9245925957023,36.841819727327675
1697045177.44526,359.8125,0.5,113.75,28.214699697452208,1009.8739944809909,36.85948245739564
1697045177.5037882,359.8125,0.5,113.75,27.706874576983356,1009.8840769538078,36.85948245739564
1697045177.5628328,359.8125,0.5,113.75,27.538634622256694,1009.9042418367583,36.85948245739564
1697045177.6243093,359.8125,0.5,113.75,27.792543492669108,1009.8739944809909,36.85948245739564
1697045177.6831505,359.8125,0.5,113.75,27.876661806710363,1009.8840769538078,36.850651101674885
1697045177.7421176,359.8125,0.5,113.75,27.538634622256694,1009.9245925957023,36.850651101674885
1697045177.8004844,359.8125,0.5,113.75,27.876661806710363,1009.944758225234,36.85948245739564
1697045177.8592522,359.8125,0.5,113.75,27.538634622256694,1009.8941594057308,36.85948245739564
1697045177.9176188,359.8125,0.5,113.75,27.538634622256694,1010.015707550072,36.85506678186357
1697045177.9764163,359.8125,0.5,113.75,27.876661806710363,1009.9346754209165,36.85506678186357
1697045178.0353272,359.8125,0.5,113.75,28.13058176520039,1009.9548410086535,36.850651101674885
1697045178.0944362,359.8125,0.5,113.75,27.45451592642601,1009.8637254812089,36.85506678186357
1697045178.1529756,359.8125,0.5,113.75,27.370398084947134,1009.944758225234,36.85948245739564
1697045178.211294,359.8125,0.5,113.75,27.370398084947134,1009.9953578033462,36.85948245739564
1697045178.2698758,359.8125,0.5,113.75,27.708426032974753,1009.944758225234,36.85948245739564
1697045178.3293402,359.8125,0.5,113.75,28.214699697452208,1009.8232091585844,36.872729456052184
1697045178.3884366,359.8125,0.5,113.75,28.04646468729055,1009.9042418367583,36.8638981282711
1697045178.4474797,359.8125,0.5,113.75,27.538634622256694,1009.8838895339964,36.85948245739564
1697045178.506546,359.8125,0.5,113.75,27.45451592642601,1009.914324246889,36.85948245739564
1697045178.5661013,359.8125,0.5,113.75,28.13058176520039,1009.9548410086535,36.85948245739564
